"id","name","url","address.streetAddress","address.addressLocality","address.addressRegion","address.postalCode","geo.latitude","geo.longitude","telephone","faxNumber","email"
"111665","LAKE CHEVROLET","http://www.lakechevroletclearlake.com","3005 WILLOW CREEK COURT","CLEAR LAKE","IA","50428-8515",43.14582,-93.35762,"(641) 357-2612","(641) 357-4085",
"j3201","Melloy Jaguar","www.melloyjaguar.net","7707 Lomas Blvd NE","Albuquerque","NM","87110-7413","35.08704","-106.56139","8884987354",,
"NJ066","Sansone Kia","HTTP://WWW.SANSONESKIA.COM/","90-100 Route 1","Avenel","NJ","07001","40.5852082","-74.27874589999999","732-815-0500",,
"26842","Hooman Chrysler Dodge Jeep Ram","http://www.hoomanchryslerdodgejeepram.com","333 Hindry Avenue","Inglewood","CA","90301-2013",33.9592,-118.3736,"4243317000",,
"114224","HOLLY CHEVROLET","http://www.hollychevrolet.com","6601 I 55 NORTH","MARION","AR","72364-0000",35.2537,-90.2234,"(870) 739-7337","(870) 739-2730",
"279901","JOHN HIESTER CHEVROLET OF LILLINGTON, LLC","http://www.lillingtonchevy.com","105 W CORNELIUS-HARNETT BLVD","LILLINGTON","NC","27546-7854",35.418,-78.8038,"(910) 893-4861","(910) 893-3585",
"201670","DUVALL CHEVROLET, INC.","http://www.duvallchevygp.com","464 HWY 441 SOUTH","CLAYTON","GA","30525-5448",34.8715,-83.403,"(706) 782-4966","(706) 782-9982",
"60597","Perry Chrysler Dodge Jeep Ram of National City","http://www.perrychryslerdodgejeepramofnationalcity.com","2340 National City Blvd","National City","CA","91950-6508",32.6627,-117.1019,"6194771101",,
"118225","SITTON BUICK GMC","http://www.sittongm.com","2640 LAURENS RD","GREENVILLE","SC","29607-3818",34.8231,-82.3436,"(864) 288-5600","(864) 288-2382",
"22048","Walser Bloomington Toyota","http://www.walsertoyota.com","4401 American Blvd. West","Bloomington","MN","55437",44.857183,-93.33509,"9528885581","9524002904",
"17010","VADEN NISSAN","http://www.vadennissan.com/","10421 ABERCORN ST","SAVANNAH","GA","31419","31.9867","-81.131757","912-920-5480","912-920-5153",
"20360","Bell Ford","http://www.bellford.net","2401 West Bell Road","Phoenix","AZ","85023","33.638805","-112.111398","(602) 866-1776","(602) 564-3510",
"113330","BUD WEISER MOTORS, INC.","http://www.budweisermotors.com","2676 MILWAUKEE RD","BELOIT","WI","53511-3988",42.5215,-88.9895,"(608) 364-6340","(608) 364-6352",
"45400","LaFontaine Chrysler Jeep Dodge","http://www.lafontainechryslerdodgejeep.com","900 W Michigan Ave","Saline","MI","48176-1464",42.1608,-83.7961,"7344299431",,
"60505","Zeigler Chrysler Dodge Ram","http://www.hzkalamazoocdr.com","3939 Stadium Dr","Kalamazoo","MI","49008-1421",42.271,-85.6376,"2693754500",,
"06295","Town & Country of Salida","http://www.tcfordsalida.com","943 Highway 50 East","Salida","CO","81201","38.523758","-105.992431","(719) 539-6633","(719) 539-3794",
"117119","BOB ROBINSON CHEVROLET-CADILLAC, INC.","http://www.bobrobinson.com","155 ROBINSON DRIVE","TRIADELPHIA","WV","26059-4741",40.06215,-80.58842,"(304) 233-8000","(304) 233-4612",
"10431","Lake Ford Lincoln","http://www.lakelincolnlewistown.com","429 South Main Street","Lewistown","PA","17044","40.592371","-77.568044","(717) 248-0151","(717) 248-1905",
"19059","Scion of Southern Maryland","http://www.scionsmd.com","22500 Three Notch Road","Lexington Park","MD","20653","38.28486699999999842702891328372061252593994140625","-76.47467100000000073123374022543430328369140625","(877) 494-3256",,"ScionEcom19059@toyota.com"
"12106","Garbo Motor Sales, Inc.","http://www.GarboMotorSaleslincoln.com","3077 Douglas Avenue","Racine","WI","53402","42.757141","-87.800272","(262) 639-4154","(262) 639-6295",
"04541","Merced Scion","http://www.mercedscion.com","1400 Auto Center Drive","Merced","CA","95340","37.30604000000000297632141155190765857696533203125","-120.5050499999999971123543218709528446197509765625","(866) 947-7784",,"ScionEcom04541@toyota.com"
"72116","INFINITI OF LIVERMORE","http://www.infinitilivermore.com","3200 LAS POSITAS ROAD","LIVERMORE","CA","94551","37.700596","-121.759958","925-447-1100","925-371-0886",
"118653","COVERT CADILLAC BUICK GMC","http://www.covertbuickgmc.com","11750 B RESEARCH BLVD","AUSTIN","TX","78759-2446",30.4207,-97.7483,"(512) 583-3000","(512) 583-3001",
"26949","Ville Platte Chrysler Dodge Jeep Ram","http://www.chrysler.com//hostc/fad/moreDealerInfo.do?dealerCode=26949","1320 W Main Street","Ville Platte","LA","70586-2802",30.6945,-92.2904,"3373636627",,
"240963","NOBLE AUTOMOTIVE","http://www.i80chevy.com","2020 W 20TH STREET SOUTH","NEWTON","IA","50208-8944",41.68066,-93.07887,"(641) 787-9990","(641) 787-9995",
"02254","Dale James Ford, Inc","http://www.djford.com","616 W. Main St.","Apple Creek","OH","44606","40.755416","-81.844032","(888) 698-7776","",
"17017","Courvelle Scion","http://www.courvellescion.com","4127 I-49 So. Service Rd","Opelousas","LA","70570","30.4749699999999990041033015586435794830322265625","-92.0781199999999984129317454062402248382568359375","(877) 398-6846",,"internet@courvelletoyota.dealerspace.com"
"05372","Keller Ford Lincoln","http://www.kellerfordhanford.com","1073 W. Cadillac Lane","Hanford","CA","93230","36.329139","-119.655147","(559) 584-5531","(559) 584-0322",
"45019","Lucas Chrysler Dodge Jeep Ram","http://www.lucaschryslerjeepdodge.com","1624 Route 38","Lumberton","NJ","08048-2920",39.9823,-74.7831,"6092673400",,
"07265","Valley Ford Truck, Inc.","http://www.valleyfordtrucksalesinc.com","5715 Canal Road","Cleveland","OH","44125","41.407762","-81.625842","(216) 524-2400","(216) 524-8527",
"71068","PLAZA INFINITI","http://www.plazainfiniti.com/","11830 OLIVE BLVD","CREVE COEUR","MO","63141","38.670849","-90.443764","314-301-1707","314-301-1736",
"69152","Bill Luke FIAT","http://www.fiatusaoftempe.com","7833 South Autoplex Loop","Tempe","AZ","85284-1066",33.347,-111.9686,"4805984031",,
"16049","Toyota South","http://www.toyotasouth.com","961 Four Mile Road","Richmond","KY","40475",37.760155,-84.27538,"8596241313","8596242023",
"AA7ZL","Mitchell Volvo of Simsbury","http://www.mitchellvolvo.com","384 Hopmeadow St.","Simsbury","CT","06070",41.8511925,-72.81282,"(860) 408-6065",,"bmccarthy@mitchellautogroup.com"
"09098","Ted Britt Chantilly Ford Lincoln","http://www.tedbrittlincolnofchantilly.com","4175 Auto Park Circle","Chantilly","VA","20151","38.904468","-77.460452","(703) 673-2300","(703) 218-4604",
"45652","Tilleman Motor Co.","http://www.hi-linedodge.com","1720 Highway 2 East","Havre","MT","59501-",48.5558,-109.7593,"4062655428",,
"117706","GRAFE CHEVROLET GMC","http://www.grafechevygmc.com","407 FAIRWINDS","HALLETTSVILLE","TX","77964-1905",29.4415,-96.9478,"(361) 798-3281","(361) 798-5922",
"5003","NORTH PLAINFIELD NISSAN","http://www.jerseynissan.com/","545 ROUTE 22 W","NORTH PLAINFIELD","NJ","07060","40.630179","-74.432698","908-755-6400","908-755-2430",
"06399","Whitefish Ford","http://www.whitefishford.com","6331 Highway 93 South","Whitefish","MT","59937","48.389440","-114.335460","(406) 863-2511","",
"2003","GABE ROWE NISSAN","http://gaberowenissan.com/","851 N WESLEYAN BLVD","ROCKY MOUNT","NC","27804","35.967793","-77.815092","252-977-9600","252-977-4588",
"60131","Bryan Bowman Chrysler Jeep Dodge","http://www.bryanbowmanchryslerdodgejeep.com","1873 E Tipton St","Seymour","IN","47274-3563",38.9582,-85.8588,"8125222982",,
"IN023","Nielsen Kia","HTTP://WWW.NIELSENKIA.COM/","4411 E. Michigan Blvd.","Michigan City","IN","46360","41.69881729999999","-86.8331487","219-878-1133",,
"116299","SULLIVAN BUICK GMC TRUCKS","http://www.ocalabuickgmc.com","4000 SW COLLEGE RD","OCALA","FL","34474-5724",29.1459,-82.1893,"(352) 620-0008","(352) 620-0769",
"408142","F.X. Caprara Volkswagen","http://www.fxcapraravolkswagen.com","18493 Us Route 11","Watertown","NY","13601","43.9341","-75.9336","8665788233",,
"66248","Griffin Motors","http://www.chrysler.com//hostc/fad/moreDealerInfo.do?dealerCode=66248","925 North Jackson St","Houston","MS","38851-1128",33.9134,-89.0051,"6624564281",,
"45349","Colorado Springs Dodge","http://www.coloradospringsdodge.net","7455 Austin Bluffs Pkwy","Colorado Springs","CO","80923-9272",38.9397,-104.7395,"7194758550",,
"119317","HIGHVIEW MOTORS, INC.","http://www.highviewmotors.net","1409 N MAIN ST","ALTAVISTA","VA","24517-1126",37.1178,-79.2775,"(434) 369-5618","(434) 369-7596",
"64685","Pischke Motors","http://www.pischkemotors.net","1460 West City Highway 16","West Salem","WI","54669-1936",43.8992,-91.1036,"6087866000",,
"251014","Pauly Acura","http://www.paulyacura.com","2699 Skokie Valley Rd","Highland Park","IL","60035-1040",42.200363,-87.832916,"(847) 433-8200","8474338511","mikev@paulymotors.com"
"114649","HORNE AUTO CENTER, INC.","http://www.horneauto.com","651 W DEUCE OF CLUBS AVE","SHOW LOW","AZ","85901-5811",34.2466,-110.0487,"(928) 537-5500","(928) 537-1240",
"210344","ST. ANTHONY MOTORS","http://www.stanthonymotors.com","135 W MAIN","SAINT ANTHONY","ID","83445-2114",43.9666,-111.6835,"(208) 624-3435",,
"26924","Mojave Chrysler Dodge Jeep Ram of Barstow","http://www.mojaveofbarstow.com","631 West Main St.","Barstow","CA","92311-2756",34.8976,-117.0343,"7602565800",,
"403C24","Thelen Audi","www.thelenaudiofbaycity.com","1112 N Euclid Ave","Bay City","MI","48706",43.6164,-83.9142,"9896842980",,
"14044","Toyota of Des Moines","http://www.toyotadm.com","1650 SE 37th Street","Grimes","IA","50111",41.6586,-93.77674,"5152764911","5152768984",
"14146","SMART CENTER JACKSONVILLE","WWW.SMARTCENTERJACKSONVILLE.COM","7018 BLANDING BLVD","JACKSONVILLE","FL","32244",30.2211372,-81.7381188,"9047775900",,
"42439","Fugate Motors","http://www.fugatemotors.net","220 Highway 54 West","El Dorado Sprngs","MO","64744-",37.8633,-94.0264,"4178764751",,
"111440","PUTNAM CHEVROLET INC","http://www.putnamchevrolet.com","31304 HIGHWAY 87","CALIFORNIA","MO","65018-1225",38.6137,-92.5709,"(573) 796-2131","(573) 796-4206",
"3980","MASTRIA NISSAN","http://www.mastrianissan.com/","1305 NEW STATE HWY","RAYNHAM","MA","02767","41.904533","-71.017047","508-824-8614","508-880-2799",
"00192","Hardy Family Ford","http://www.hardyforddallas.com","1255 Charles Hardy Parkway","Dallas","GA","30157","33.917620","-84.768950","(770) 445-8891","(770) 445-8862",
"115696","TAWES BROTHERS, INC.","http://www.tawesbrothers.com","4090 CRISFIELD HWY","CRISFIELD","MD","21817-2481",37.9952,-75.8387,"(410) 968-0606","(410) 968-1507",
"WI031","KOCOUREK HYUNDAI","www.hyundaiwausau.com","1501 MORNING GLORY LANE","WAUSAU","WI","54401",44.915706,-89.65216,"715-359-0303","715-359-5846","mlawless@kocourekauto.com"
"402803","Volkswagen of Grand Blanc","http://www.volkswagenofgrandblanc.com","6201 S Saginaw Rd","Grand Blanc","MI","48439","42.9405","-83.6456","8666319532",,
"65748","Ron Lewis Chrysler Dodge Jeep Ram","http://www.ronlewischryslerdodgejeeprampleasanthills.com","600 Clairton Blvd","Pittsburgh","PA","15236-3812",40.3298,-79.9453,"4126557500",,
"WI014","BOUCHER HYUNDAI","www.boucherhyundai.com","1583 EAST MORELAND BOULEVARD","WAUKESHA","WI","53186",43.024419,-88.204106,"262-547-0031","262-547-5654","fawn.delaney@boucher.com"
"36075","Sunnyside Mitsubishi","WWW.SUNNYSIDEMITSUBISHI.COM","7629 PEARL ROAD","MIDDLEBURG HEIGHTS","OH","44130",41.3581,-81.81668,"(440)243-7711","(440)243-8576",
"20107","Mike Finnin Ford Inc","http://www.mikefinninford.com","3600 Dodge Street","Dubuque","IA","52003","42.490665","-90.730075","(800) 747-1010","(563) 556-8465",
"12142","Grossinger City Toyota","http://www.grossingercitytoyota.com","1561 North Fremont Street","Chicago","IL","60642",41.90999,-87.65092,"3127079500","3127078813",
"ACN0S","Borton Volvo (Golden Valley)","http://www.bortonvolvo.com","905 Hampshire Avenue","Golden Valley","N ","55426",44.972702,-93.36524,"(612) 827-3666",,"gv_sales@borton.com"
"5165","BOARDMAN NISSAN","http://www.boardmannissan.com/","7809 MARKET ST","BOARDMAN","OH","44512","41.01176","-80.662709","330-726-5555","330-726-2510",
"17053","Ronnie Ward Toyota of Ruston","http://www.ronniewardtoyotaofruston.com","1001 N. Service Road East","Ruston","LA","71270",32.540694,-92.627439,"3182551387","3182551399",
"12150","Chicago Northside Toyota","http://www.chicagotoyota.com","5625 North Broadway St","Chicago","IL","60660",41.98417,-87.66,"7737285000","7737281099",
"209689","RUGE'S GMC","http://www.rugesgmc.com","7916 ROUTE 22","COPAKE FALLS","NY","12517-0000",42.1124,-73.5348,"(518) 329-4181","(518) 329-4783",
"111636","BIRD CHEVROLET COMPANY","http://www.birdchevrolet.com","3255 UNIVERSITY AVE","DUBUQUE","IA","52001-5478",42.493,-90.7143,"(563) 583-9121","(563) 556-4482",
"07595","Saluda Motor Sales","http://www.saludamotor.com","707 Columbia Highway","Saluda","SC","29138-8982",34.0057,-81.7688,"8644452027",,
"01466","Town & Country Ford","http://www.evansvilleford.com","7720 Lloyd Expressway","Evansville","IN","47715","37.976661","-87.461985","(888) 257-2440","(812) 485-3268",
"TX151","HYUNDAI OF LONGVIEW","www.hyundailongviewtx.com","3680 NORTH HIGHWAY 259","LONGVIEW","TX","75605",32.563419,-94.73081,"903-663-8710","903-663-7566","hyundai@randallnoe.com"
"5219","TEDDY NISSAN","http://www.teddynissan.com/index.htm","3660 BOSTON ROAD","BRONX","NY","10469","40.879948","-73.841886","718-515-1111","718-798-0460",
"23863","Bluebonnet Motors","http://www.bluebonnetmotors.net","283 Ih 35 E","New Braunfels","TX","78130-3740",29.6914,-98.1091,"8306068500",,
"60596","I-77 Chrysler Jeep Dodge Ram","http://www.i77chryslerjeepdodgeram.com","435 Church St S","Ripley","WV","25271-1613",38.8071,-81.7002,"3045147077",,
"SC034","Benson Kia","HTTP://WWW.BENSONKIA.COM","1185 Asheville Highway","Spartanburg","SC","29303","34.972501","-81.95459799999999","864-699-9090",,
"08599","Tillamook Motor Company","http://www.tillamookmotors.net","501 Main Avenue","Tillamook","OR","97141","45.454759","-123.843897","(503) 842-4475","(503) 842-6346",
"2756","HERITAGE NISSAN","http://romenissan.com/","1500 VETERANS MEM HWY","ROME","GA","30165","34.285559","-85.136719","706-291-1981","706-295-0528",
"j5691","Jaguar of Sarasota","www.wildejaguarofsarasota.com","4821 Clark Rd","Sarasota","FL","34233-3219","27.26913","-82.47174","8774660419",,
"21043","Dunning Toyota Ann Arbor","http://www.dunningtoyota.com","3745 Jackson Road","Ann Arbor","MI","48103",42.28435,-83.805212,"7349977600","7349979213",
"03551","Astoria Ford, Inc.","http://www.astoriaford.net","710 West Marine Drive","Astoria","OR","97103","46.179732","-123.857517","(503) 325-6411","(503) 325-8037",
"ADY2L","Fields Volvo Waukesha","http://www.volvowaukesha.com","1901 East Moreland","Waukesha","WI","53186",43.0266647,-88.19405,"(262) 970-5900",,"gokla@fieldsauto.com"
"22115","Mercedes-Benz of Naperville","www.naperville.mercedesdealer.com","1569 Ogden Avenue","Naperville","IL","60540",41.768971,-88.186348,"(630) 305-4560","(630) 357-0466",
"261230","CHEVROLET OF MONTEBELLO","http://www.chevroletofmontebello.com","310 W WHITTIER BLVD","MONTEBELLO","CA","90640-5324",34.0091,-118.103,"(323) 728-9181","(323) 721-2356",
"244765","CAVALLARO-NEUBAUER CHEVROLET INC.","http://www.cavneub-williamson.com","3740 RTE 104","WILLIAMSON","NY","14589-4589",43.23274,-77.19826,"(315) 589-8080","(315) 589-9682",
"61802","Berlin City Lexus of Portland","http://www.lexusofportland-me.com","191 Riverside Street","Portland","ME","04103",43.682922,-70.32773,"888.239.1137","(303) 928-6827","tthomas@berlincity.com"
"112860","MCCLINTON CHEVROLET COMPANY","http://www.mcclintonchevrolet.com","1325 SEVENTH ST","PARKERSBURG","WV","26101-4929",39.2645,-81.53962,"(304) 422-6501","(304) 485-8197",
"06036","Middletown Scion","http://www.middletownscion.com","634 Newfield Street","Middletown","CT","06457","41.5763639999999981000655679963529109954833984375","-72.672156999999998561179381795227527618408203125","(866) 965-3054",,"ScionEcom06036@toyota.com"
"114156","CENTRAL CHEVROLET COMPANY, INC.","http://centralchevrolet.com","3207 STADIUM BLVD","JONESBORO","AR","72404-9359",35.80235,-90.66997,"(870) 935-5575","(870) 935-9770",
"04362","Dublin Toyota","http://www.dublintoyota.com","4321 Toyota Drive","Dublin","CA","94568",37.70389,-121.88172,"9258297700","9258299025",
"04186","Scion of Lompoc","http://www.toyotaoflompoc.com","203 East Ocean Avenue","Lompoc","CA","93436","34.6390310000000027912392397411167621612548828125","-120.456424999999995861799106933176517486572265625","(877) 861-4781",,"ScionEcom04186@toyota.com"
"116902","THE ALDERMAN MOTOR COMPANY","http://www.aldermancadillac.com","380 S BROAD ST","MERIDEN","CT","06450-6693",41.5118,-72.8074,"(203) 235-1686","(203) 237-7510",
"10670","Woodhouse Lincoln","http://www.WoodhouseLincoln.net","6503 L Street","Omaha","NE","68117","41.211624","-96.013433","(402) 592-1000","(402) 592-3329",
"251185","Northeast Acura","http://www.northeastacura.com","942 New Loudon Rd","Latham","NY","12110-2107",42.766399,-73.754539,"(888) 318-9040","5187851297","eshackett@northeastacura.com"
"406418","Sutliff Volkswagen","http://www.sutliffvolkswagen.com","1301 Paxton St","Harrisburg","PA","17104","40.2560","-76.8653","7172160627",,
"07184","Einspahr Auto Plaza, Inc.","http://www.Einspahrlincoln.com","2020 8th St S","Brookings","SD","57006","44.296932","-96.771163","(605) 692-6106","(605) 692-6619",
"IL018","GREEN HYUNDAI","www.greenhyundai.com","1200 S. DIRKSEN PARKWAY","SPRINGFIELD","IL","62703",39.7888795,-89.6058296,"217-525-1370","217-525-1678","hyundaileads@greenstores.net"
"425053","Momentum Volkswagen Jersey Village","http://www.jerseyvillagevw.com","19550 Northwest Fwy","Jersey Village","TX","77065","29.9108","-95.6116","8007230242",,
"34038","Jim Marsh Mitsubishi","WWW.JIMMARSHMITSUBISHI.COM","8555 WEST CENTENNIAL PARKWAY","LAS VEGAS","NV","89149",36.27728,-115.28156,"(702)946-1000","(702)946-6930",
"09143","Rowe Ford Lincoln","http://www.rowelincolnofwestbrook.com","91 Main St.","Westbrook","ME","04092","43.677906","-70.333620","(800) 872-7693","(207) 854-1028",
"05236","Ford of Escondido","http://www.fordofescondido.net","1717 Auto Park Way South","Escondido","CA","92029","33.116084","-117.109920","(888) 610-9807","",
"040682","Neil Huffman Subaru","http://www.neilhuffman.subaru.com","4916 Dixie Hwy","Louisville","KY","40216","38.170425","-85.827354","5024486666",,
"03617","Hammonasset Ford, Inc.","http://www.hammonasset-ford.com","191 Boston Post Rd","Madison","CT","06443","41.281639","-72.631228","(203) 245-8828","(203) 245-8837",
"59227","Kincaid Auto Sales","http://www.kincaidauto.net","309 S Lebanon St","Lebanon","IN","46052-2547",40.0454,-86.4692,"7654825180",,
"32110","Cloninger Toyota","http://www.cloningertoyota.com","511 Jake Alexander Blvd. S","Salisbury","NC","28146",35.646208,-80.489946,"7046375353","7046339416",
"12103","Green Toyota","http://www.greentoyota.com","3901 West Wabash","Springfield","IL","62707",39.756414,-89.729458,"2176983100","217-544-1471",
"194776","RHINELANDER CHEVROLET, BUICK, GMC, CADILLAC","http://www.rhinelandergm.net","1935 N STEVENS ST","RHINELANDER","WI","54501-8556",45.6562,-89.3843,"(715) 365-8100","(715) 365-8233",
"2683","HUBLER NISSAN","http://www.hublernissan.com/","8435 US HIGHWAY 31 SOUTH","INDIANAPOLIS","IN","46227","39.643405","-86.132247","317-888-9227","317-887-1057",
"60074","Putnam Chrysler Jeep Dodge","http://www.putnamchryslerdodgejeepconnecticut.com","157 Providence Pike, Rt 44","Putnam","CT","06260-2525",41.9259,-71.8721,"8609287737",,
"4501446","Porsche of Annapolis","http://annapolis.porschedealer.com","20 Hudson Street","Annapolis","Maryland","21401",,,"443-837-2600",,
"NC032","Auto Park Kia","HTTP://WWW.LEITHAUTOPARKKIA.COM/","5330 Rolesville Road","Wendell","NC","27591","35.8044641","-78.4225885","919-366-3666",,
"71047","ORLANDO INFINITI","http://www.orlandoinfiniti.com/","4237 MILLENIA BLVD","ORLANDO","FL","32839","28.48992","-81.432114","407-660-0077","407-660-2647",
"85201","Smith Company Motor Cars","www.smithcompany.mercedesdealer.com","5 Dudley Farms Lane","Charleston","WV","25309",38.327119,-81.713119,"1-800-427-4034","1-304-746-0030",
"60378","Pella Motors","http://www.pellamotors.net","604 E Oskaloosa St","Pella","IA","50219-2238",41.3969,-92.8986,"6416284124",,
"02805","Owatonna Ford-Lincoln","http://www.owatonnaford.com","1001 Hoffman Drive","Owatonna","MN","55060","44.092940","-93.233801","(507) 451-7860","(507) 451-6558",
"61006","Jim Hudson Lexus-Augusta","http://www.augustalexus.com","3520 Washington Road","Martinez","GA","30907",33.516018,-82.07734,"706.650.9999","(706) 650-3238","kchristiansen@lexusaugusta.com"
"VA012","FIRST TEAM HYUNDAI","www.firstteamhyundai.com","6520 PETERS CREEK ROAD","ROANOKE","VA","24019",37.3460531,-79.9623844,"540-362-4800","540-362-5871","ddillon@firstteamautogroup.com"
"04218","Coughlin Ford of Circleville","http://www.circlevilleford.com","24001 U.S. Route 23 South","Circleville","OH","43113","39.584930","-82.953880","(740) 474-3138","(740) 474-4291",
"02033","Tim's Scion","http://www.timscion.com","1006 Commerce Drive","Prescott","AZ","86305","34.603713999999996531187207438051700592041015625","-112.45616300000000364889274351298809051513671875","(866) 791-6462",,"ScionEcom02033@toyota.com"
"112664","DEWEY BARBER CHEVROLET, INC.","http://www.deweybarber.com","90 BARBER BLVD","GARDENDALE","AL","35071-5900",33.71561,-86.83311,"(205) 631-2669","(205) 631-6477",
"65797","Zubek Chrysler Dodge - Tawas","http://www.zubekchryslerdodgejeepramtawas.com","492 M55","Tawas City","MI","48763-9239",44.28,-83.5407,"9893623791",,
"16450","Sandia BMW","http://www.sandiabmw.com","6001 Pan American West Fwy NE","Albuquerque","NM","87109-3421",35.1486701,-106.5904069,"(888)594-3268","(505)884-9137",
"4501150","Midwestern Auto Group","http://midwestern.porschedealer.com","6335 Perimeter Loop Rd.","Dublin","Ohio","43017",,,"614-889-2571",,
"115033","FRANK GALOS CHEVROLET-CADILLAC","http://www.frankgalos.com","884 PORTLAND RD","SACO","ME","04072-9672",43.5381,-70.4193,"(207) 284-5986","(207) 282-1457",
"408C15","Audi of Wallingford","www.audiofwallingford.com","800 S Colony Rd","Wallingford","CT","06492",41.4396,-72.8321,"2032949000",,
"114169","DWAYNE  BLACKMON CHEVROLET, INC.","http://www.blackmonchevrolet.com","1410 S GLOSTER ST","TUPELO","MS","38801-6508",34.2246,-88.7199,"(662) 842-3611","(662) 842-0012",
"69063","Gossett FIAT","http://www.fiatusaofmemphis.com","1825 Covington Pike","Memphis","TN","38128-6931",35.1711,-89.9003,"9013888989",,
"37104","Mel Grata Scion","http://www.melgratascion.com","2757 E State Street","Hermitage","PA","16148","41.23341400000000334102878696285188198089599609375","-80.458674000000002024535206146538257598876953125","(866) 945-6390",,"ScionEcom37104@toyota.com"
"46093","Dick Hannah Toyota","http://www.dickhannahtoyota.com","2632 Coweeman Park Drive","Kelso","WA","98626",46.109108,-122.883896,"3604252730","3605781077",
"45470","Grapevine Dodge Chrysler Jeep","http://www.grapevinedodgechryslerjeep.net","2601 William D Tate Ave","Grapevine","TX","76051-3984",32.9077,-97.0984,"8662544290",,
"26141","Len Stoler Dodge Chrysler Jeep","http://www.lenstolerdodgechryslerjeep.com","1001 Baltimore Blvd","Westminster","MD","21157-7023",39.5555,-76.9598,"4108768800",,
"AD2YQ","Volvo of Fredericksburg","http://www.volvooffredericksburg.com","1001 Noble Way","Fredericksburg","VA","22401",38.31374,-77.50602,"(540) 373-5200",,"volvosales@rosnerauto.com"
"929","BLACKBURN NISSAN","http://www.blackburnnissan.com/","2195 NORTH FRONTAGE RD","VICKSBURG","MS","39180","32.324841","-90.865268","601-661-7565","601-802-2662",
"1759","COLUMBUS NISSAN","http://columbusnissan.com/","100 HIGHWAY 12 E","COLUMBUS","MS","39702","33.521656","-88.363639","662-328-6691","662-327-6855",
"408099","Langan Volkswagen Of Vernon, LLC","http://www.langanvernonvw.com","167 Hartford Turnpike","Vernon","CT","06066","41.8213","-72.5010","8606450261",,
"08739","Banner Ford","http://www.bannerford.net","1943 North Causeway Boulevard","Mandeville","LA","70471","30.394057","-90.087769","(866) 649-1425","(985) 674-5567",
"113918","WILLIS CHEVROLET BUICK","http://www.willisgm.com","2707 S DUPONT BLVD","SMYRNA","DE","19977-2874",39.26632,-75.5872,"(302) 653-6000","(302) 653-2984",
"62012","Teterboro Chrysler Dodge Jeep Ram","http://www.teterborochryslerjeep.net","469 Route 46","Little Ferry","NJ","07643-1409",40.8568,-74.0504,"2014400222",,
"07008","Price Toyota-Scion","http://www.pricescion.com","168 N. Dupont Highway","New Castle","DE","19720","39.67436699999999660803950973786413669586181640625","-75.595382999999998219209373928606510162353515625","(866) 974-7970",,"ScionEcom07008@toyota.com"
"114774","AUTONATION CHEVROLET CORAL GABLES","http://www.autonationchevroletcoralgables.com","4181 SW 8TH ST","MIAMI","FL","33134-2699",25.7643,-80.2626,"(305) 442-1000","(305) 445-9225",
"05539","Sunrise Ford","http://www.sunriseforddirect.com","16005 Valley Blvd.","Fontana","CA","92335","34.068590","-117.454957","(909) 822-4401","(909) 434-0525",
